Date,Open,High,Low,Close,Volume
19-Sep-14,117.51,117.57,116.72,117.09,10931243
18-Sep-14,117.41,118.09,117.19,117.78,5368874
17-Sep-14,118.95,119.24,117.50,117.54,8328712
16-Sep-14,118.85,119.43,118.44,118.83,6544481
15-Sep-14,118.79,118.86,118.46,118.64,4778579
12-Sep-14,118.63,118.90,118.07,118.38,8129457
11-Sep-14,119.61,119.70,118.77,119.47,7618266
10-Sep-14,120.13,120.54,119.64,120.26,7022579
9-Sep-14,120.57,120.94,120.00,120.87,6157321
8-Sep-14,121.58,121.61,120.37,120.73,7508620
5-Sep-14,121.83,122.06,121.63,122.06,3490704
4-Sep-14,122.48,122.66,121.25,121.48,7310640
3-Sep-14,121.70,122.20,121.66,122.15,3415925
2-Sep-14,121.97,122.08,121.43,121.65,10128581
29-Aug-14,123.75,124.22,123.62,123.86,3684122
28-Aug-14,124.15,124.33,123.81,124.00,3297757
27-Aug-14,123.60,123.71,123.25,123.32,2576944
26-Aug-14,123.92,123.97,123.28,123.35,3891112
25-Aug-14,122.92,123.04,122.72,122.74,5019903
22-Aug-14,123.09,123.33,122.57,123.19,4739968
21-Aug-14,122.72,123.24,122.45,122.88,8010459
20-Aug-14,124.82,124.82,123.88,124.22,4395911
19-Aug-14,125.00,125.00,124.48,124.68,4878772
18-Aug-14,124.78,125.08,124.65,124.96,4953347
15-Aug-14,124.52,126.07,124.41,125.48,13071958
14-Aug-14,126.24,126.53,126.13,126.31,3348451
13-Aug-14,126.35,126.53,125.90,126.20,3969676
12-Aug-14,126.42,126.81,125.87,125.99,4613407
11-Aug-14,125.84,126.04,125.64,125.96,3165498
8-Aug-14,126.08,126.41,125.89,126.19,5729316
7-Aug-14,125.47,126.51,125.37,126.18,7298926
6-Aug-14,125.71,126.00,125.52,125.67,9327849
5-Aug-14,123.74,124.52,123.40,123.87,8342542
4-Aug-14,124.36,124.47,123.73,123.99,6500560
1-Aug-14,124.54,124.81,124.23,124.38,7397317
31-Jul-14,123.85,124.07,123.23,123.39,9898582
30-Jul-14,124.89,124.93,124.41,124.83,5622346
29-Jul-14,125.79,125.88,124.72,125.20,5270794
28-Jul-14,125.44,125.67,125.30,125.58,3213705
25-Jul-14,124.48,125.93,124.43,125.79,5644498
24-Jul-14,124.85,124.87,123.90,124.35,8118607
23-Jul-14,125.72,126.04,125.40,125.62,3045018
22-Jul-14,126.33,126.43,125.47,125.74,3887606
21-Jul-14,126.53,126.55,126.11,126.34,3303835
18-Jul-14,125.79,126.21,125.67,126.13,6461677
17-Jul-14,125.52,127.55,125.11,127.09,11430637
16-Jul-14,125.02,125.47,124.78,124.97,4104117
15-Jul-14,125.89,126.32,124.36,124.53,10548113
14-Jul-14,125.50,126.10,125.45,125.72,11469917
11-Jul-14,128.41,128.83,128.38,128.78,4322535
10-Jul-14,129.11,129.21,128.49,128.54,6314294
9-Jul-14,127.54,128.26,127.18,127.84,8369851
8-Jul-14,127.29,127.53,126.43,127.07,6220335
7-Jul-14,126.63,127.03,126.23,127.02,4636886
3-Jul-14,126.79,127.29,126.61,127.16,4922466
2-Jul-14,127.76,128.24,127.64,127.70,5742612
1-Jul-14,127.99,128.12,127.49,127.70,8148345
30-Jun-14,126.53,128.04,126.37,128.04,18143018
27-Jun-14,126.88,127.17,126.65,126.66,4200393
26-Jun-14,126.53,126.92,126.20,126.73,5531190
25-Jun-14,126.78,127.55,126.66,126.99,6695428
24-Jun-14,127.22,127.32,126.73,126.98,6355294
23-Jun-14,126.65,126.94,126.37,126.85,5142796
20-Jun-14,126.32,127.07,126.21,126.50,9955149
19-Jun-14,124.33,127.23,124.32,126.94,24374779
18-Jun-14,122.22,122.80,122.09,122.67,4604909
17-Jun-14,121.85,122.50,121.82,122.28,4035098
16-Jun-14,122.88,123.01,122.30,122.42,5833646
13-Jun-14,122.57,123.04,122.51,122.96,4026822
12-Jun-14,121.92,122.75,121.83,122.64,7394697
11-Jun-14,121.55,121.61,121.18,121.41,3573593
10-Jun-14,121.29,121.47,121.21,121.39,3561677
9-Jun-14,120.79,120.85,120.57,120.65,2789577
6-Jun-14,120.68,120.77,119.94,120.61,4808750
5-Jun-14,120.55,120.88,120.43,120.66,4183681
4-Jun-14,120.10,120.16,119.68,119.76,3861805
3-Jun-14,119.73,120.09,119.42,120.01,5010345
2-Jun-14,119.93,120.46,119.61,119.70,5923679
30-May-14,120.76,120.81,119.62,120.43,8753575
29-May-14,120.78,121.46,120.77,120.94,5555563
28-May-14,121.47,121.70,120.92,121.20,6741191
27-May-14,122.98,123.07,121.75,121.85,10905402
23-May-14,124.60,124.66,124.19,124.51,2206288
22-May-14,125.14,125.24,124.54,124.67,3458801
21-May-14,124.25,124.55,123.53,124.39,6848002
20-May-14,124.12,124.91,124.09,124.69,3771117
19-May-14,125.28,125.47,124.48,124.58,3903200
16-May-14,124.35,124.77,124.29,124.50,4052154
15-May-14,124.77,125.51,124.54,124.77,5862519
14-May-14,125.80,125.96,125.44,125.81,4018583
13-May-14,124.79,125.10,124.50,124.60,2643478
12-May-14,125.40,125.42,124.69,124.94,4025958
9-May-14,124.39,124.47,123.82,124.10,3119978
8-May-14,124.19,124.47,123.89,124.17,3696147
7-May-14,125.52,125.57,123.92,124.17,8471166
6-May-14,126.02,126.11,125.63,125.98,3488007
5-May-14,126.47,126.63,126.00,126.22,5202763
2-May-14,123.69,125.67,123.33,125.06,9914822
1-May-14,123.17,123.83,123.06,123.80,6687796
30-Apr-14,124.19,125.05,123.82,124.22,10354278
29-Apr-14,124.95,125.38,124.65,124.86,5241798
28-Apr-14,125.30,125.34,124.45,124.88,4898101
25-Apr-14,125.18,125.71,125.07,125.43,7025124
24-Apr-14,122.87,125.12,122.84,124.56,8755120
23-Apr-14,123.70,123.94,123.38,123.76,3741184
22-Apr-14,124.15,124.16,122.92,123.78,6899367
21-Apr-14,124.07,124.33,123.76,124.24,6579161
17-Apr-14,125.38,125.53,124.57,124.75,5902491
16-Apr-14,125.37,125.57,125.03,125.54,4072028
15-Apr-14,124.79,125.70,124.60,125.49,9970175
14-Apr-14,127.80,128.25,127.62,127.85,6680185
11-Apr-14,127.04,127.31,126.73,126.93,4699538
10-Apr-14,126.95,127.37,126.82,127.01,5008847
9-Apr-14,125.46,126.72,125.33,126.32,5307863
8-Apr-14,126.34,126.34,125.90,126.09,6946163
7-Apr-14,125.07,125.47,124.84,124.91,3969823
